Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
12119,"Sesame Street: Ready, Set, Grover!",DS,2011,Misc,Warner Bros. Interactive,0.08,0.0,0.0,0.01,0.08
12120,Gundam the 3D Battle,3DS,2011,Action,Namco Bandai,0.0,0.0,0.08,0.0,0.08
12121,Pretty Rhythm Rainbow Live: Kira Kira My * Design,3DS,2013,Simulation,Takara Tomy,0.0,0.0,0.08,0.0,0.08
12122,Midnight Play! Pack,DS,2008,Misc,Ubisoft,0.08,0.0,0.0,0.01,0.08
12123,NHL 2K7,X360,2006,Sports,2K Sports,0.07,0.0,0.0,0.01,0.08
12124,PAC-MAN and the Ghostly Adventures,PS3,2013,Platform,Namco Bandai Games,0.03,0.04,0.0,0.01,0.08
12125,Playmobil Pirates,DS,2009,Action,DreamCatcher Interactive,0.07,0.0,0.0,0.01,0.08
12126,Miami Nights: Singles in the City,DS,2008,Simulation,Ubisoft,0.08,0.0,0.0,0.01,0.08
12127,Death Jr. and the Science Fair of Doom,DS,2007,Platform,Konami,0.08,0.0,0.0,0.01,0.08
12128,Godzilla Generations,DC,1998,Action,Sega,0.0,0.0,0.08,0.0,0.08
12129,Strider 2,PS,2000,Platform,Capcom,0.05,0.03,0.0,0.01,0.08
12130,Forbidden Siren 2,PS2,2006,Action,Sony Computer Entertainment,0.0,0.0,0.08,0.0,0.08
12131,Board Game Classics,GBA,2005,Misc,"Destination Software, Inc",0.06,0.02,0.0,0.0,0.08
12132,Build 'n Race,Wii,2009,Racing,Zoo Games,0.08,0.0,0.0,0.01,0.08
12133,Ben 10 (2017),NS,2017,Action,Outright Games,0.04,0.03,0.0,0.01,0.08
12134,BlazBlue: Chrono Phantasma,PSV,2014,Fighting,Arc System Works,0.04,0.0,0.03,0.01,0.08
12135,Petz: Dogz Family,PSP,2009,Simulation,Ubisoft,0.05,0.02,0.0,0.01,0.08
12136,Shin Megami Tensei: Digital Devil Saga 2,PS2,2005,Role-Playing,Atlus,0.04,0.03,0.0,0.01,0.08
12137,The Legend of Heroes: Trails in the Sky First Chapter,PSV,2015,Role-Playing,Kadokawa Shoten,0.0,0.0,0.08,0.0,0.08
12138,Adventure Time: The Secret of the Nameless Kingdom,3DS,2014,Adventure,Little Orbit,0.0,0.08,0.0,0.0,0.08
12139,Counter-Strike: Source,PC,2004,Shooter,VU Games,0.0,0.07,0.0,0.01,0.08
12140,Zatch Bell! Mamodo Battles,PS2,2005,Fighting,Bandai,0.04,0.03,0.0,0.01,0.08
12141,Spintires: MudRunner - American Wilds,PS4,2018,Racing,Focus Home Interactive,0.07,0.0,0.0,0.02,0.08
12142,The Sims 2: Apartment Life,PC,2008,Simulation,Electronic Arts,0.0,0.08,0.0,0.01,0.08
12143,ShellShock 2: Blood Trails,PS3,2009,Shooter,Eidos Interactive,0.04,0.03,0.0,0.01,0.08
12144,Naruto Shippuden: Shinobi Rumble!!,DS,2011,Fighting,Takara Tomy,0.03,0.0,0.05,0.0,0.08
12145,Dream Day: Wedding Destinations,DS,2009,Simulation,THQ,0.08,0.0,0.0,0.01,0.08
12146,Me & My Katamari (JP sales),PSP,2006,Puzzle,Namco,0.0,0.0,0.08,0.0,0.08
12147,Star Wars: Empire at War,PC,2006,Strategy,LucasArts,0.01,0.07,0.0,0.01,0.08
12148,RollerCoaster Tycoon 3: Platinum,PC,2006,Strategy,Atari,0.01,0.06,0.0,0.01,0.08
12149,The Hidden,3DS,2011,Adventure,Majesco,0.08,0.0,0.0,0.01,0.08
12150,Iron Man / X-O Manowar in Heavy Metal,PS,1996,Platform,Acclaim Entertainment,0.05,0.03,0.0,0.01,0.08
12151,Derby Stallion 98,SNES,1998,Sports,ASCII Entertainment,0.0,0.0,0.08,0.0,0.08
12152,Pimp My Ride: Street Racing,PS2,2009,Racing,Activision,0.04,0.03,0.0,0.01,0.08
12153,Pretty Rhythm: My Deco Rainbow Wedding,3DS,2013,Simulation,Takara Tomy,0.0,0.0,0.08,0.0,0.08
12154,Robotron X,PS,1996,Shooter,Midway Games,0.05,0.03,0.0,0.01,0.08
12155,The Spiderwick Chronicles,DS,2008,Adventure,Sierra Entertainment,0.07,0.0,0.0,0.01,0.08
12156,Touch Mechanic,DS,2009,Simulation,Aspyr,0.08,0.0,0.0,0.01,0.08
12157,Sushi Academy,DS,2009,Action,City Interactive,0.08,0.0,0.0,0.01,0.08
12158,J-League Winning Eleven 2009: Club Championship,PS2,2009,Sports,Konami,0.0,0.0,0.08,0.0,0.08
12159,Grand Prix Challenge,PS2,2003,Racing,Atari,0.04,0.03,0.0,0.01,0.08
12160,Meitantei Conan & Kindaichi Shounen no Jikenbou: Meguri au Futari no Meitantei,DS,2009,Adventure,Namco Bandai,0.0,0.0,0.08,0.0,0.08
12161,FIFA Soccer 2005,GBA,2004,Sports,EA Sports,0.06,0.02,0.0,0.0,0.08
12162,Puzzler Mind Gym 3D,3DS,2011,Puzzle,Ubisoft,0.07,0.0,0.0,0.01,0.08
12163,Kenka Banchou 6: Soul & Blood,3DS,2015,Fighting,Spike Chunsoft,0.0,0.0,0.08,0.0,0.08
12164,PoPoLoCrois (JP sales),PSP,2005,Role-Playing,Agetec,0.0,0.0,0.08,0.0,0.08
12165,Supremacy MMA,X360,2011,Fighting,505 Games,0.05,0.02,0.0,0.01,0.08
12166,DaGeDar,DS,2011,Action,GameMill,0.08,0.0,0.0,0.01,0.08
12167,DanceDanceRevolution,X360,2011,Simulation,Konami,0.08,0.0,0.0,0.01,0.08
12168,Ken to Mahou to Gakuen Mono. 2,PSP,2009,Role-Playing,Acquire,0.0,0.0,0.08,0.0,0.08
12169,Bulletstorm: Full Clip Edition,XOne,2017,Shooter,Gearbox Software,0.06,0.01,0.0,0.01,0.08
12170,Kaijuu Busters Powered,DS,2011,Action,Namco Bandai,0.0,0.0,0.08,0.0,0.08
12171,NHL 06,GC,2005,Sports,EA Sports,0.06,0.02,0.0,0.0,0.08
12172,Jimmie Johnson's Anything With an Engine,Wii,2011,Racing,Konami,0.08,0.0,0.0,0.01,0.08
12173,Sports Collection,DS,2010,Sports,Ubisoft,0.06,0.01,0.0,0.01,0.08
12174,Tornado Outbreak,X360,2009,Action,Konami,0.07,0.0,0.0,0.01,0.08
12175,Initial D: Extreme Stage,PS3,2008,Racing,Sega,0.0,0.0,0.08,0.0,0.08
12176,Pinobee: Wings of Adventure,GBA,2001,Platform,Activision,0.06,0.02,0.0,0.0,0.08
12177,State of Emergency 2,PS2,2006,Shooter,SouthPeak Interactive,0.04,0.03,0.0,0.01,0.08
12178,Little League World Series Baseball 2010,PS3,2010,Sports,Activision,0.07,0.0,0.0,0.01,0.08
12179,Gintama Gin-Oh Quest: Gin-San ga Tenshoku Shitari Sekai wo Sukuttari,DS,2007,Role-Playing,Banpresto,0.0,0.0,0.08,0.0,0.08
12180,Mirror's Edge Catalyst,PC,2016,Platform,Electronic Arts,0.01,0.06,0.0,0.01,0.08
12181,NBA 10 The Inside,PSP,2009,Sports,Sony Computer Entertainment,0.07,0.0,0.0,0.01,0.08
12182,One Piece: Romance Dawn,3DS,2014,Misc,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08
12183,Prey the Stars,DS,2008,Action,KOEI,0.07,0.0,0.0,0.01,0.08
12184,Kamen Rider: Super Climax Heroes,Wii,2012,Fighting,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08
12185,Fatal Frame III: The Tormented,PS2,2005,Action,Tecmo,0.04,0.03,0.0,0.01,0.08
12186,The Sexy Brutale,PS4,2017,Adventure,Badland Games,0.05,0.02,0.0,0.01,0.08
12187,Tokyo Twilight Ghost Hunters,PSV,2015,Visual Novel,Aksys Games,0.04,0.01,0.02,0.01,0.08
12188,Legend of Kay Anniversary,PS4,2015,Action,Nordic Games,0.03,0.03,0.0,0.01,0.08
12189,Ninjabread Man,Wii,2007,Action,Conspiracy Entertainment,0.07,0.0,0.0,0.01,0.08
12190,Seven Samurai 20XX,PS2,2004,Action,Sammy Corporation,0.04,0.03,0.0,0.01,0.08
12191,"Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 2: Shinseiki Evangelion - Shito, Futatabi",DS,2008,Misc,D3 Publisher,0.0,0.0,0.08,0.0,0.08
12192,Jikkyou Powerful Pro Yakyuu 15,Wii,2008,Sports,Konami,0.0,0.0,0.08,0.0,0.08
12193,SafeCracker: The Ultimate Puzzle Adventure,Wii,2008,Puzzle,The Adventure Company,0.07,0.01,0.0,0.01,0.08
12194,Puella Magi Madoka Magica: The Battle Pentagram,PSV,2013,Action,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08
12195,Kobitodzukan: Kobito no Fushigi - Jikken Set,3DS,2013,Simulation,Nippon Columbia,0.0,0.0,0.08,0.0,0.08
12196,Tom Clancy's Splinter Cell: Pandora Tomorrow,GC,2004,Action,Ubisoft,0.06,0.02,0.0,0.0,0.08
12197,Slayers Royal,PS,1998,Role-Playing,Kadokawa Shoten,0.0,0.0,0.08,0.01,0.08
12198,Swingerz Golf,GC,2002,Sports,Eidos Interactive,0.06,0.02,0.0,0.0,0.08
12199,Pro Evolution Soccer 2008 (JP sales),DS,2008,Sports,Konami,0.0,0.0,0.08,0.0,0.08
12200,Pony Friends 2,Wii,2010,Simulation,Square Enix,0.03,0.04,0.0,0.01,0.08
12201,Wildlife Park 3,PC,2011,Simulation,bitComposer Games,0.0,0.07,0.0,0.01,0.08
12202,Diva Girls: Divas on Ice,Wii,2009,Sports,505 Games,0.07,0.0,0.0,0.01,0.08
12203,Man vs. Wild,PS3,2011,Adventure,Crave Entertainment,0.07,0.0,0.0,0.01,0.08
12204,The King of Fighters 2006,PS2,2006,Fighting,SNK Playmore,0.01,0.01,0.05,0.0,0.08
12205,My English Coach: Para Hispanoparlantes,DS,2009,Misc,Ubisoft,0.07,0.0,0.0,0.01,0.08
12206,Nobunaga's Ambition: Rise to Power,PS2,2008,Strategy,KOEI,0.0,0.0,0.08,0.0,0.08
12207,Cartoon Network: Punch Time Explosion XL,Wii,2011,Fighting,Crave Entertainment,0.07,0.01,0.0,0.01,0.08
12208,FIFA Soccer 2003,GC,2002,Sports,EA Sports,0.06,0.02,0.0,0.0,0.08
12209,Happy Feet Two,Wii,2011,Adventure,Warner Bros. Interactive,0.06,0.01,0.0,0.01,0.08
12210,Qubed,X360,2009,Puzzle,Atari,0.07,0.0,0.0,0.01,0.08
12211,Backyard NBA Basketball,DS,2007,Sports,Atari,0.07,0.0,0.0,0.01,0.08
12212,Hasbro Family Fun Pack Conquest Edition,PS4,2016,Misc,Ubisoft,0.07,0.0,0.0,0.02,0.08
12213,Loading Human,PS4,2016,Adventure,Maximum Games,0.05,0.02,0.0,0.01,0.08
12214,Outlaw Golf,GC,2002,Sports,Simon & Schuster Interactive,0.06,0.02,0.0,0.0,0.08
12215,Samurai Shodown Sen,X360,2010,Fighting,Xseed Games,0.07,0.01,0.0,0.01,0.08
12216,Bakugan: Rise of the Resistance,DS,2011,Strategy,Activision,0.05,0.02,0.0,0.01,0.08
12217,Pop'n Music,Wii,2009,Misc,Konami,0.07,0.0,0.0,0.01,0.08
12218,Steins;Gate: Darling of Loving Vows,X360,2011,Visual Novel,5pb,0.0,0.0,0.08,0.0,0.08
12219,Major League Baseball 2K11,PC,2011,Sports,2K Sports,0.06,0.02,0.0,0.01,0.08
12220,King's Field (Japan),PS,1994,Role-Playing,From Software,0.0,0.0,0.08,0.01,0.08
12221,Slam 'n Jam '96 featuring Magic & Kareem,PS,1996,Sports,Crystal Dynamics,0.04,0.03,0.0,0.01,0.08
12222,SingStar Apres-Ski Party 2,PS3,2010,Misc,Sony Computer Entertainment,0.0,0.07,0.0,0.01,0.08
12223,EyeCreate,PS3,2007,Misc,Sony Computer Entertainment,0.0,0.07,0.0,0.01,0.08
12224,The Italian Job,XB,2003,Racing,Eidos Interactive,0.06,0.02,0.0,0.0,0.08
12225,ToraDora Portable!,PSP,2009,Adventure,Namco Bandai,0.0,0.0,0.08,0.0,0.08
12226,AKB1/149: Love Election,PS3,2013,Simulation,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08
12227,Smuggler's Run: Warzones,GC,2002,Misc,Rockstar Games,0.06,0.02,0.0,0.0,0.08
12228,Princess in Love,DS,2009,Simulation,THQ,0.07,0.0,0.0,0.01,0.08
12229,Kaidan Restaurant: Ura Menu 100-Sen,DS,2010,Misc,Namco Bandai,0.0,0.0,0.08,0.0,0.08
12230,R/C Stunt Copter,PS,1999,Simulation,Titus,0.04,0.03,0.0,0.01,0.08
12231,Shining Resonance Refrain,PS4,2018,Role-Playing,Sega,0.03,0.01,0.04,0.01,0.08
12232,Yamakawa Shuppansha Kanshuu: Shousetsu Sekaishi B,DS,2007,Misc,Namco Bandai,0.0,0.0,0.08,0.0,0.08
12233,Final Fantasy VI,PS,1999,Role-Playing,SquareSoft,0.0,0.0,0.08,0.01,0.08
12234,GoldenEye 007,DS,2010,Shooter,Activision,0.08,0.0,0.0,0.0,0.08
12235,Jikkyou Powerful Major League 2009,PS2,2009,Sports,Konami,0.0,0.0,0.08,0.0,0.08
12236,Super Monkey Ball Adventure,PSP,2006,Platform,Sega,0.05,0.02,0.0,0.01,0.08
12237,Space Channel 5 Special Edition,PS2,2003,Misc,Agetec,0.04,0.03,0.0,0.01,0.08
12238,The Legend of Alon D'ar,PS2,2001,Role-Playing,Ubisoft,0.04,0.03,0.0,0.01,0.08
12239,Super Robot Taisen OG Saga: Endless Frontier,DS,2009,Role-Playing,Atlus,0.07,0.0,0.0,0.01,0.08
12240,Black/Matrix,SAT,1998,Strategy,NEC Interchannel,0.0,0.0,0.08,0.0,0.08
12241,R.B.I. Baseball 2017,NS,2017,Sports,MLB.com,0.07,0.0,0.0,0.01,0.08
12242,Big Mutha Truckers,GC,2003,Racing,THQ,0.06,0.02,0.0,0.0,0.08
12243,Micro Machines: World Series,XOne,2017,Racing,Codemasters,0.02,0.05,0.0,0.01,0.08
12244,Edna & Harvey: Harvey's New Eyes,PC,2011,Adventure,Rondomedia,0.0,0.07,0.0,0.01,0.08
12245,Root Letter,PSV,2016,Adventure,PQube,0.0,0.04,0.03,0.01,0.08
12246,Ice Age 2: The Meltdown,Wii,2006,Platform,Vivendi Games,0.06,0.01,0.0,0.01,0.08
12247,The King of Fighters '96,PS,1997,Fighting,SNK,0.0,0.0,0.07,0.01,0.08
12248,Captain Tsubasa: New Kick Off,DS,2010,Sports,Konami,0.0,0.02,0.06,0.0,0.08
12249,Bust-A-Move 2 Arcade Edition,N64,1998,Puzzle,Acclaim Entertainment,0.06,0.02,0.0,0.0,0.08
12250,Iggy's Reckin' Balls,N64,1998,Racing,Acclaim Entertainment,0.06,0.02,0.0,0.0,0.08
12251,Knife Edge: NoseGunner,N64,1998,Shooter,Kemco,0.06,0.02,0.0,0.0,0.08
12252,NHL Breakaway 99,N64,1998,Sports,Acclaim Entertainment,0.07,0.01,0.0,0.0,0.08
12253,Sega Ages: After Burner II,SAT,1996,Shooter,Sega,0.0,0.0,0.08,0.0,0.08
12254,Tony Hawk's Pro Skater 3,N64,2002,Sports,Activision,0.06,0.02,0.0,0.0,0.08
12255,Wetrix,N64,1998,Puzzle,Ocean,0.06,0.02,0.0,0.0,0.08
12256,Knights Contract,X360,2011,Action,Namco Bandai,0.05,0.03,0.0,0.01,0.08
12257,Little League World Series Baseball: Double Play,Wii,2010,Sports,Activision,0.07,0.0,0.0,0.01,0.08
12258,Darksiders II: Deathinitive Edition,XOne,2015,Action-Adventure,Nordic Games,0.05,0.03,0.0,0.01,0.08
12259,Dynasty Warriors 9,XOne,2018,Action,Tecmo Koei,0.06,0.01,0.0,0.01,0.08
12260,Order Up!!,PS3,2012,Action,Ignition Entertainment,0.06,0.01,0.0,0.01,0.08
12261,Samurai Western,PS2,2005,Action,Atlus,0.04,0.03,0.0,0.01,0.08
12262,Line Rider 2: Unbound,DS,2008,Puzzle,"Genius Products, Inc.",0.07,0.0,0.0,0.01,0.08
12263,Harry Potter and the Sorcerer's Stone,GC,2003,Action,Electronic Arts,0.06,0.02,0.0,0.0,0.08
12264,Looney Tunes: Acme Arsenal,X360,2007,Action,Warner Bros. Interactive,0.06,0.01,0.0,0.01,0.08
12265,High Heat Major League Baseball 2004,XB,2003,Sports,3DO,0.06,0.02,0.0,0.0,0.08
12266,TimeSplitters: Future Perfect,GC,2005,Shooter,Electronic Arts,0.06,0.02,0.0,0.0,0.08
12267,PAC-MAN and the Ghostly Adventures,X360,2013,Platform,Namco Bandai Games,0.04,0.03,0.0,0.01,0.08
12268,Kenshuui Tendo Dokuta,DS,2004,Simulation,Spike,0.0,0.0,0.08,0.0,0.08
12269,Pac-Man and the Ghostly Adventures 2,3DS,2014,Platform,Namco Bandai Games,0.03,0.05,0.0,0.01,0.08
12270,Super Sentai Battle: Ranger Cross,Wii,2011,Action,Namco Bandai,0.0,0.0,0.08,0.0,0.08
12271,Disney's Meet the Robinsons,X360,2007,Action,Disney Interactive Studios,0.07,0.0,0.0,0.01,0.08
12272,Gradius III and IV,PS2,2000,Shooter,Konami,0.04,0.03,0.0,0.01,0.08
12273,Pilot ni Narou! 2,PS2,2001,Simulation,Victor Interactive,0.0,0.0,0.08,0.0,0.08
12274,Sherlock Holmes: Crimes & Punishments,XOne,2014,Adventure,Focus Home Interactive,0.03,0.04,0.0,0.01,0.08
12275,Rapala Fishing Pro Series,PS4,2017,Simulation,GameMill,0.06,0.0,0.0,0.02,0.08
12276,Ken to Mahou to Gakuen Mono. Final: Shinnyusei wa Ohimesama,PSP,2011,Strategy,Acquire,0.0,0.0,0.08,0.0,0.08
12277,Incredible Crisis,PS,2000,Action,Titus,0.04,0.03,0.0,0.01,0.08
12278,Ultimate Card Games DS,DS,2008,Strategy,Telegames,0.07,0.0,0.0,0.01,0.08
12279,Midway Arcade Treasures 3,XB,2005,Misc,Midway Games,0.06,0.02,0.0,0.0,0.08
12280,Jillian Michaels Fitness Ultimatum 2010,DS,2009,Sports,Majesco,0.07,0.0,0.0,0.01,0.08
12281,Petz Fantasy: Sunshine Magic,DS,2010,Simulation,Ubisoft,0.07,0.0,0.0,0.01,0.08
12282,Samurai Shodown III,NG,1995,Fighting,SNK,0.0,0.0,0.08,0.0,0.08
12283,The King of Fighters EX2: Howling Blood,GBA,2003,Fighting,Atlus,0.06,0.02,0.0,0.0,0.08
12284,Cabela's North American Adventures,PS2,2010,Sports,Activision,0.04,0.03,0.0,0.01,0.08
12285,Akiba's Trip Plus,PSP,2012,Action-Adventure,Acquire,0.0,0.0,0.08,0.0,0.08
12286,The Sims 3: Fast Lane Stuff,PC,2010,Simulation,Electronic Arts,0.01,0.05,0.0,0.01,0.08
12287,Minecraft: Story Mode - Season Two,X360,2017,Adventure,Telltale Games,0.05,0.02,0.0,0.01,0.08
12288,"Warhammer 40,000: Dawn of War II - Retribution",PC,2011,Strategy,THQ,0.0,0.06,0.0,0.02,0.08
12289,IA/VT Colorful,PSV,2015,Music,Marvelous Entertainment,0.0,0.0,0.08,0.0,0.08
12290,Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,GBA,2004,Strategy,Nintendo,0.0,0.0,0.08,0.0,0.08
12291,Warhammer: Battle For Atluma,PSP,2006,Action,Namco Bandai,0.07,0.0,0.0,0.01,0.08
12292,Famicom Mini: Star Soldier,GBA,2004,Shooter,Nintendo,0.0,0.0,0.08,0.0,0.08
12293,Sentimental Graffiti 2,DC,2000,Adventure,NEC Interchannel,0.0,0.0,0.08,0.0,0.08
12294,Witches & Vampires: The Secrets of Ashburry,DS,2010,Adventure,Conspiracy Entertainment,0.05,0.02,0.0,0.01,0.08
12295,Shonen Jump's One Piece: Pirates Carnival,GC,2006,Misc,Namco Bandai,0.06,0.02,0.0,0.0,0.08
12296,Goblin Commander: Unleash the Horde,XB,2003,Strategy,Jaleco,0.06,0.02,0.0,0.0,0.08
12297,Doraemon: Nobita and the Island of Miracles,3DS,2012,Adventure,FuRyu Corporation,0.0,0.0,0.08,0.0,0.08
12298,From Russia With Love,PSP,2006,Shooter,Electronic Arts,0.07,0.0,0.0,0.01,0.08
12299,Sentimental Graffiti: First Window,SAT,1997,Adventure,NEC Interchannel,0.0,0.0,0.08,0.0,0.08
12300,Cartoon Network Collection: Game Boy Advance Video Volume 2,GBA,2004,Misc,Majesco,0.06,0.02,0.0,0.0,0.08
12301,The First Templar,PC,2011,Adventure,Kalypso,0.06,0.01,0.0,0.01,0.08
12302,Discovery Kids: Spider Quest,DS,2009,Misc,505 Games,0.07,0.0,0.0,0.01,0.08
12303,Tempest 3X,PS,1996,Shooter,Interplay,0.04,0.03,0.0,0.01,0.08
12304,"The $1,000,000 Pyramid",Wii,2011,Misc,Ubisoft,0.07,0.0,0.0,0.01,0.08
12305,A-Train,PS,1996,Strategy,Maxis,0.02,0.01,0.04,0.01,0.08
12306,Hidden Invasion,PS2,2002,Shooter,Conspiracy Entertainment,0.04,0.03,0.0,0.01,0.08
12307,Superman: Shadow of Apokolips,GC,2003,Action,Atari,0.06,0.02,0.0,0.0,0.08
12308,Armored Core 3 Portable,PSP,2009,Simulation,From Software,0.0,0.0,0.08,0.0,0.08
12309,Earth Defense Force 2017,X360,2007,Shooter,D3 Publisher,0.04,0.01,0.03,0.0,0.08
12310,Bleach: Erabareshi Tamashii,PS2,2005,Adventure,Sony Computer Entertainment,0.0,0.0,0.08,0.0,0.08
12311,"3 in 1: Solitaire, Mahjong & Tangram",DS,2010,Misc,Deep Silver,0.0,0.07,0.0,0.01,0.08
12312,Overcooked! 2,XOne,2018,Simulation,Sold Out,0.07,0.0,0.0,0.01,0.08
12313,Sengoku Musou 3: Moushouden,Wii,2011,Action,Tecmo Koei,0.0,0.0,0.08,0.0,0.08
12314,Batman: Dark Tomorrow,GC,2003,Action,Kemco,0.06,0.02,0.0,0.0,0.08
12315,Crush,PSP,2007,Puzzle,Sega,0.07,0.0,0.0,0.01,0.08
12316,Taiko no Tatsujin: Atsumete Tomodachi Daisakusen!,WiiU,2015,Music,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08
12317,Winter Stars,PS3,2011,Sports,Deep Silver,0.01,0.05,0.0,0.01,0.08
12318,Yuu Yuu Hakusho: Makyo Toitsusen,GEN,1994,Fighting,Sega,0.0,0.0,0.08,0.0,0.08
12319,Worms: A Space Oddity,Wii,2008,Strategy,THQ,0.06,0.02,0.0,0.01,0.08
12320,Rock Revolution,Wii,2008,Misc,Konami,0.07,0.0,0.0,0.01,0.08
12321,Ogre Battle Series: Tactics Ogre,PS,1998,Role-Playing,Atlus,0.04,0.03,0.0,0.01,0.08
12322,Mission Runway,DS,2009,Simulation,THQ,0.07,0.01,0.0,0.01,0.08
12323,Battlestar Galactica,XB,2003,Simulation,VU Games,0.06,0.02,0.0,0.0,0.08
12324,Fireblade,XB,2002,Simulation,Midway Games,0.06,0.02,0.0,0.0,0.08
12325,Drama Queens,DS,2009,Misc,Majesco,0.07,0.0,0.0,0.01,0.08
12326,Tomb Raider: Legend,GC,2006,Action,Eidos Interactive,0.06,0.02,0.0,0.0,0.08
12327,Boxing Fever,GBA,2001,Sports,Majesco,0.06,0.02,0.0,0.0,0.08
12328,RoadKill,XB,2003,Action,Midway Games,0.06,0.02,0.0,0.0,0.08
12329,Diego's Build & Rescue,DS,2010,Action,2K Play,0.07,0.0,0.0,0.01,0.08
12330,Major League Baseball 2K12,DS,2012,Sports,Take-Two Interactive,0.07,0.0,0.0,0.01,0.08
12331,7 Wonders of the Ancient World,PSP,2007,Puzzle,Mumbo Jumbo,0.07,0.0,0.0,0.01,0.08
12332,Atelier Firis: The Alchemist and the Mysterious Journey,PS4,2017,Role-Playing,Tecmo Koei,0.02,0.0,0.05,0.01,0.08
12333,Gintama: Gin-San to Issho! Boku no Kabuki Machi Nikki,PS2,2007,Action,Namco Bandai,0.0,0.0,0.08,0.0,0.08
12334,ZhuZhu Babies,DS,2011,Simulation,Activision,0.06,0.01,0.0,0.01,0.08
12335,Far Cry Vengeance,Wii,2006,Shooter,Ubisoft,0.06,0.01,0.0,0.01,0.08
12336,MLB Front Office Manager,PS3,2009,Sports,2K Sports,0.07,0.0,0.0,0.01,0.08
12337,Wordfish,DS,2008,Puzzle,Ubisoft,0.07,0.0,0.0,0.01,0.08
12338,Indycar Series 2005,XB,2004,Action,Codemasters,0.06,0.02,0.0,0.0,0.08
12339,Final Fantasy XI: Vana'diel Collection 2008,PS2,2007,Role-Playing,Square Enix,0.03,0.03,0.01,0.01,0.08
12340,Medabots Dual: Kabuto / Kuwagata,3DS,2013,Action,Rocket Company,0.0,0.0,0.08,0.0,0.08
12341,Worms: Open Warfare,DS,2006,Strategy,THQ,0.05,0.02,0.0,0.01,0.08
12342,Sniper: Ghost Warrior 2,PC,2013,Shooter,City Interactive,0.02,0.05,0.0,0.01,0.08
12343,Taz Wanted,GC,2002,Platform,Atari,0.06,0.02,0.0,0.0,0.08
12344,World Series of Poker 2008: Battle for the Bracelets,X360,2007,Action,Activision,0.06,0.01,0.0,0.01,0.08
12345,Penny Racers Party: Turbo-Q Speedway,Wii,2008,Racing,Takara Tomy,0.07,0.0,0.0,0.01,0.08
12346,The Sims 2: Ikea Home Stuff,PC,2008,Simulation,Electronic Arts,0.0,0.07,0.0,0.01,0.08
12347,TrackMania DS,DS,2009,Racing,Atlus,0.06,0.01,0.0,0.01,0.08
12348,Code Lyoko: Fall of X.A.N.A.,DS,2008,Adventure,Game Factory,0.07,0.0,0.0,0.01,0.08
12349,Gravel,PS4,2018,Racing,Milestone S.r.l.,0.06,0.0,0.0,0.01,0.08
12350,Skydiving Extreme,PS,2001,Sports,Natsume,0.04,0.03,0.0,0.01,0.08
12351,Evil Dead: Regeneration,XB,2005,Action,THQ,0.06,0.02,0.0,0.0,0.08
12352,Medabots 8,3DS,2014,Misc,Rocket Company,0.0,0.0,0.08,0.0,0.08
12353,Battlefield 2,PC,2005,Shooter,Electronic Arts,0.0,0.07,0.0,0.01,0.08
12354,Super Robot Wars OG: The Moon Dwellers,PS3,2016,Misc,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08
12355,Evolution Worlds,GC,2002,Role-Playing,Ubisoft,0.06,0.02,0.0,0.0,0.08
12356,Motto! Stitch! DS Rhythm de Rakugaki Daisakusen,DS,2010,Misc,Disney Interactive Studios,0.0,0.0,0.08,0.0,0.08
12357,Zoo Tycoon (2013),X360,2013,Simulation,Microsoft Studios,0.02,0.06,0.0,0.01,0.08
12358,New International Track & Field,DS,2008,Sports,Konami,0.07,0.0,0.0,0.01,0.08
12359,Pro Evolution Soccer 2013,PC,2012,Sports,Konami Digital Entertainment,0.0,0.07,0.0,0.01,0.08
12360,Rapala Pro Bass Fishing 2010,PS2,2010,Sports,Activision,0.04,0.03,0.0,0.01,0.08
12361,Dungeon Travelers 2: The Royal Library & the Monster Seal,PSP,2013,Role-Playing,Aqua Plus,0.0,0.0,0.08,0.0,0.08
12362,MX vs ATV All Out,XOne,2018,Racing,THQ Nordic,0.07,0.0,0.0,0.01,0.08
12363,Toy Soldiers: War Chest,XOne,2015,Action,Ubisoft,0.07,0.0,0.0,0.01,0.08
12364,Sub Rebellion,PS2,2002,Simulation,Metro 3D,0.04,0.03,0.0,0.01,0.08
12365,Grease Dance,PS3,2011,Misc,505 Games,0.05,0.02,0.0,0.01,0.08
12366,My Friends,DS,2009,Misc,O-Games,0.07,0.0,0.0,0.01,0.08
12367,Future Card Buddyfight: Yuujou no Bakunetsu Fight!,3DS,2015,Strategy,FuRyu Corporation,0.0,0.0,0.08,0.0,0.08
12368,Striker 96,PS,1996,Sports,Acclaim Entertainment,0.04,0.03,0.0,0.01,0.08
