Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
5276,Tom Clancy's Ghost Recon 2: Summit Strike,XB,2005,Shooter,Ubisoft,0.29,0.08,0.0,0.01,0.39
5277,Silent Hill: Homecoming,PS3,2008,Action,Konami,0.18,0.15,0.0,0.06,0.39
5278,Zone of the Enders HD Collection,PS3,2012,Action,Konami Digital Entertainment,0.21,0.04,0.09,0.05,0.39
5279,SpongeBob vs The Big One: Beach Party Cook Off,DS,2009,Adventure,THQ,0.24,0.11,0.0,0.04,0.39
5280,Tiger Woods PGA Tour 08,PS2,2007,Sports,Electronic Arts,0.19,0.15,0.0,0.05,0.39
5281,Hooked! Again: Real Motion Fishing,Wii,2009,Sports,Aksys Games,0.36,0.0,0.0,0.03,0.39
5282,Tiger Woods PGA Tour 14,PS3,2013,Sports,EA Sports,0.16,0.16,0.0,0.06,0.39
5283,Karaoke Revolution Presents American Idol Encore,PS2,2008,Misc,Konami,0.19,0.15,0.0,0.05,0.39
5284,Get Fit with Mel B,PS3,2010,Sports,Deep Silver,0.15,0.16,0.0,0.07,0.39
5285,Airlock,2600,1982,Action,Data Age,0.36,0.02,0.0,0.0,0.39
5286,MotoGP 08,PS3,2008,Racing,Capcom,0.07,0.24,0.0,0.08,0.39
5287,Metal Gear Solid: Snake Eater 3D,3DS,2012,Action-Adventure,Konami Digital Entertainment,0.15,0.12,0.1,0.02,0.39
5288,Tokimeki Memorial 2,PS,1999,Simulation,Konami,0.0,0.0,0.36,0.03,0.39
5289,EA Sports Active 2,X360,2010,Sports,Electronic Arts,0.18,0.16,0.0,0.04,0.39
5290,LEGO Star Wars III: The Clone Wars,PSP,2011,Action,LucasArts,0.14,0.16,0.0,0.08,0.39
5291,Farming Simulator 2013,X360,2013,Simulation,Focus Home Interactive,0.22,0.13,0.0,0.03,0.39
5292,Little Nightmares,PS4,2017,Platform,Namco Bandai Games,0.18,0.12,0.02,0.06,0.39
5293,Harry Potter: Quidditch World Cup,GBA,2003,Sports,Electronic Arts,0.28,0.1,0.0,0.01,0.39
5294,Tropico 5,PS4,2015,Simulation,Kalypso Media,0.07,0.18,0.08,0.05,0.38
5295,Wipeout 2048,PSV,2012,Racing,Sony Computer Entertainment,0.13,0.19,0.0,0.06,0.38
5296,Super Street Fighter IV: Arcade Edition,PS3,2011,Fighting,Capcom,0.15,0.05,0.17,0.02,0.38
5297,Evil Dead: Fistfull of Boomstick,PS2,2003,Action,THQ,0.19,0.15,0.0,0.05,0.38
5298,Dance Party: Pop Hits,Wii,2009,Misc,Nordic Games,0.0,0.36,0.0,0.02,0.38
5299,Metal Gear Solid HD Collection,X360,2011,Action,Konami,0.25,0.1,0.0,0.03,0.38
5300,Triple Play 97,PS,1996,Sports,Electronic Arts,0.21,0.15,0.0,0.03,0.38
5301,Super Soccer,SNES,1992,Sports,Nintendo,0.0,0.0,0.38,0.0,0.38
5302,Marvel: Ultimate Alliance,PS3,2006,Role-Playing,Activision,0.33,0.02,0.0,0.03,0.38
5303,Shin Megami Tensei: Nocturne,PS2,2004,Role-Playing,Atlus,0.07,0.05,0.25,0.02,0.38
5304,Wario Land II (GBC),GB,1999,Platform,Nintendo,0.0,0.0,0.38,0.0,0.38
5305,San Francisco Rush: Extreme Racing,PS,1998,Racing,Midway Games,0.21,0.15,0.0,0.03,0.38
5306,Diner Dash: Sizzle & Serve,DS,2007,Puzzle,Eidos Interactive,0.33,0.02,0.0,0.03,0.38
5307,GRID 2,PS3,2013,Misc,Codemasters,0.07,0.25,0.01,0.06,0.38
5308,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,PS,1998,Racing,Human Entertainment,0.0,0.0,0.36,0.03,0.38
5309,Yoshi Touch & Go,DS,2005,Platform,Nintendo,0.34,0.02,0.0,0.03,0.38
5310,Viking: Battle for Asgard,PS3,2008,Action,Sega,0.14,0.18,0.0,0.07,0.38
5311,Wii Sports Club,WiiU,2014,Sports,Nintendo,0.17,0.14,0.04,0.03,0.38
